Date,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
221,3.3,4.1,4.2,7.6,6.5,4.5,4.4,2.9,10.7
222,3.3,6.6,8.3,8.7,6.1,5.6,2.2,4.6,10.5
223,3.5,7.3,9.6,9.5,5.3,5.8,3.1,3.3,13.2
224,3.7,8.9,9,9.1,6.6,5.7,4.5,3.4,11.6
225,3.4,3.3,7.4,10,6.2,5.1,5.2,3,11
226,4.2,4.8,3.4,8.6,7.1,5.3,4.2,4.6,10.4
227,6.7,7.4,7.3,6.8,4.8,5.8,6.3,4.2,11.2
228,5,5.4,7.9,9.2,5.8,4.8,5.1,5.2,8.2
229,8.4,6.2,11.9,11,5.8,5.6,6.3,3.8,5.2
230,3.1,4.9,9.6,12.2,5.6,5.8,3.2,3.7,6.8
231,2.8,7.5,8.6,10.5,4.3,3.8,4.5,4.7,6.9
232,3.5,4.5,4.5,12.6,5.1,4.5,4,4.8,6.8
233,4,5.3,5.4,13.2,7.2,4.3,2.6,4.8,4.7
234,2.9,5.1,10.2,13.3,4,3,3.7,5.4,5.1
235,4,3.5,10.4,13.3,5.1,2.9,3.4,4.7,4.8
236,3,4.4,7.6,10.3,5.3,4.2,2.8,7,3.8
237,3.4,6.4,6.8,10.4,5.8,4.8,3.1,10.2,4.8
238,7.5,6.2,11.7,10.1,7.3,5.7,5.4,9.1,4.4
239,6.9,4.7,12.9,12.6,7.4,10.7,6.3,7.3,6.8
240,7.7,10.9,8.2,9.7,9.9,8.6,7.5,5.9,6.3
241,8,5.7,9.3,9.6,5,7.3,5,4.3,6.4
242,5.3,10.6,9.3,7.4,7.7,4.6,5.2,5.1,10.8
243,6.5,5.4,12.6,7.6,8.1,6,5.5,6.4,8.1
244,3.7,4.8,5.8,7.8,7.2,7.8,2.2,5.6,10.3
245,4.6,3.7,9.2,6.7,7.5,9.7,3.3,5.3,13.4
246,4.4,7,8.3,7.9,4.8,9.6,6.4,3.2,7.6
247,3.7,7.8,8.5,12.4,6.1,7,4.2,4,5.6
248,5.6,9.1,8.6,13.3,5,5.3,4,3.8,4.5
249,4.2,5.8,6.9,6.7,6,6.7,4.3,2.9,5.2
250,3.3,3.9,9.7,6.2,5.6,4.4,3,5.6,4.2
251,2.9,11.9,7.7,8.2,6.1,1.8,3.5,5.1,8.7
252,3.1,8.3,4.8,12,17.8,4.2,2.9,5.1,11.5
253,6,6.1,4.7,6,8.2,6.3,3.6,3.9,6.4
254,6.4,5.6,5.7,4.5,7,5.4,4.8,4.7,10.1
255,4.5,7.6,7.5,4.8,7.8,6.9,6.2,6.2,6.6
256,8.5,5.3,9.5,8.3,6.1,7.2,6.3,8.3,3.5
257,2.6,7.6,8.5,11.3,5.7,7.1,3.7,7.8,6.6
258,5,5.1,10.8,9.4,7.8,8.5,7,6.6,8
259,5.1,4,9.6,10.2,6.9,7.4,5.8,4.3,7.3
260,2.2,6.4,6.6,8.5,4.8,4.8,2.7,6.7,5.1
261,1,8.7,7.9,10,6,6.7,1.2,9.2,6.5
262,5,9.7,10.5,8.8,8.7,9.3,6.9,7.6,6.8
263,7.7,3.7,13.6,10.8,8.1,10.6,7.9,6.6,7
264,4.9,5.1,10.2,8.2,3.3,11.1,4.7,12.3,5.9
265,5.3,3.3,8.3,10.8,4.9,13.8,5.1,15.1,8.9
266,4.6,2.8,9.7,12.2,10.5,13,3.6,11.1,6.8
267,7.1,4.1,11.1,11.5,7,11,3.5,6.5,7.9
268,2.8,4.4,4.5,11.3,9.5,6.4,1.7,5.6,6.6
269,2.1,2.7,5.7,15,5.3,2.5,2.8,3.5,6
270,3.3,7.2,6,11.1,6.6,1.5,4.2,3.7,8.4
271,3.1,11.4,3.9,7,8.9,6.7,3.3,4.5,13.5
272,4.1,3.7,11.8,5.4,4.8,10,5.6,3.6,16.3
273,5.3,7,9.7,11.4,5.6,7.7,8,5.1,7.8
274,9.2,10.6,15.6,9.6,4.6,2.5,8.4,8.4,6.7
275,4.9,8.3,11.2,4.4,4.7,2.2,5.2,7.3,9.1
276,4.4,8.8,7.8,5,6,5,5.8,5,5
277,4.1,3.9,8.4,7.8,4.8,3.3,3.1,8.4,8.2
278,2.8,4.3,5.7,12.5,5,2.6,2,6.6,8.5
279,4.5,5.2,6.5,8.2,6.7,4,5.4,8.8,5.5
280,3.2,10.2,6.2,10.7,4.8,4.5,2.4,7.1,7.2
281,5.4,12.2,14.5,11.7,6,3.7,5.5,5.8,5.5
282,6.8,5.2,15.2,10.7,6.1,5.7,7.6,4.5,3.5
283,4.5,3.8,6.3,5.5,4.7,12.8,3.7,6.2,6.8
284,3.1,12,11.2,5.1,10.7,6.3,6.6,7.5,3.9
285,4.2,8.7,9.4,7.6,8.1,3.6,4.8,6.4,7.2
286,13.7,6.4,13.5,5.2,7.1,6.5,9,4.9,13.4
287,5.8,9.4,13.8,6.1,6,5,8.5,5.6,4.4
288,4.9,6,9.9,6.4,6,4.6,3.4,4,8.8
289,5.2,12.6,11.5,4.5,5.7,5.3,8,3.3,13.7
290,4,8.7,11,5.4,4.8,10.8,9.3,4.7,9.9
291,3.6,6.1,9.1,3.3,7.6,7.1,3.4,8.5,9.9
292,2.9,11.2,7.5,6.3,5,7.6,2.2,9.4,14.7
293,2.5,4.6,6.6,8.5,5.9,8.2,3.9,8.3,8.7
294,3.4,6.1,4.7,7.6,5.7,6.3,4.2,7.9,7
295,1.4,9.7,3.8,6,6,5.8,5.6,8.1,9.7
296,1.1,4.3,3.3,8.6,9.5,6.4,2.5,6.2,10.6
297,3.1,6.7,4.7,6.9,3.7,5.6,5.2,6.4,12.7
298,3.6,8.7,6.8,6.1,4,10.2,5.7,5,9.6
299,7.2,6.6,9.5,6.1,11.7,5.9,7.6,3.8,6.8
300,3.8,6.2,8.4,13.4,6.1,10.3,4.7,5.9,12.1
301,1.4,4.5,5,5,4.1,7.2,1.7,7.7,13.1
302,3.2,7.4,4.6,4.2,5.1,9.3,4.5,6.6,11.5
303,7.8,6.3,9.4,4.3,5.6,8.3,6.6,9.5,10.9
304,7.4,10.3,15.4,8.9,4.4,6.8,9.7,7.7,5.1
305,3.8,5.8,6.4,6.1,5.5,2,4.4,7.6,5.4
306,3.7,16.4,11.1,4.2,3.8,5,6.6,5.4,7.5
307,15.9,14.6,19.6,4,2.9,4.8,16.5,13.7,5
308,11,9.1,19.2,11.1,3.6,2,8.7,10.8,5.9
309,2.7,10.2,8.2,8.6,3.5,4.1,3.1,9.3,10.8
310,2.8,11.2,6.9,5.5,4.2,5.2,5.4,9.2,9.6
311,1.4,8.4,6.3,16.6,9.3,3.7,1.4,8.7,7.6
312,1.6,7.6,6.7,7.9,11,2.6,1.8,11.6,5.8
313,1.4,2.1,3.8,20.6,14.2,4.2,1.3,13.1,7.8
314,1.1,3.6,2.7,5.1,6.6,8,2.3,16,11.2
315,2.6,9.3,5.9,4.5,4.9,5.2,5,10,10.4
316,3.3,12.3,9,6.1,9,4.5,6.3,10.7,4.3
317,4.4,2.9,10.1,4.9,4.6,4.8,5.9,14,6.8
318,3.9,5.9,7.9,7.3,7.8,4.6,5.1,4.9,7.3
319,4.3,5.5,9.5,6.8,13.5,6.2,4.8,7.5,11.7
